chr	start	end	id	Meth_mESC	Meth_E11_5_CF	Meth_E11_5_FB	Meth_E11_5_HB	Meth_E11_5_HT	Meth_E11_5_LM	Meth_E11_5_MB	Meth_E11_5_NT	Meth_E11_5_LV	H3K4me1_mESC	H3K4me1_E11_5_CF	H3K4me1_E11_5_FB	H3K4me1_E11_5_HB	H3K4me1_E11_5_HT	H3K4me1_E11_5_LM	H3K4me1_E11_5_MB	H3K4me1_E11_5_NT	H3K4me1_E11_5_LV	H3K4me2_mESC	H3K4me2_E11_5_CF	H3K4me2_E11_5_FB	H3K4me2_E11_5_HB	H3K4me2_E11_5_HT	H3K4me2_E11_5_LM	H3K4me2_E11_5_MB	H3K4me2_E11_5_NT	H3K4me2_E11_5_LV	H3K4me3_mESC	H3K4me3_E11_5_CF	H3K4me3_E11_5_FB	H3K4me3_E11_5_HB	H3K4me3_E11_5_HT	H3K4me3_E11_5_LM	H3K4me3_E11_5_MB	H3K4me3_E11_5_NT	H3K4me3_E11_5_LV	H3K27ac_mESC	H3K27ac_E11_5_CF	H3K27ac_E11_5_FB	H3K27ac_E11_5_HB	H3K27ac_E11_5_HT	H3K27ac_E11_5_LM	H3K27ac_E11_5_MB	H3K27ac_E11_5_NT	H3K27ac_E11_5_LV	H3K27me3_mESC	H3K27me3_E11_5_CF	H3K27me3_E11_5_FB	H3K27me3_E11_5_HB	H3K27me3_E11_5_HT	H3K27me3_E11_5_LM	H3K27me3_E11_5_MB	H3K27me3_E11_5_NT	H3K27me3_E11_5_LV	H3K9ac_mESC	H3K9ac_E11_5_CF	H3K9ac_E11_5_FB	H3K9ac_E11_5_HB	H3K9ac_E11_5_HT	H3K9ac_E11_5_LM	H3K9ac_E11_5_MB	H3K9ac_E11_5_NT	H3K9ac_E11_5_LV
chr19	26553562	26554040	dmr_265882	0.8443639999999999	0.752235	0.798193	0.772069	0.518181	0.5972890000000001	0.786079	0.700429	0.584828	-2.64335	-0.34492	-0.48695	0.21953499999999998	1.92946	0.577678	1.48517	-0.0356224	2.21733	-4.99094	-0.0396481	-2.2577599999999998	-0.5395989999999999	0.327417	-1.15341	0.10903800000000001	-0.706828	1.71081	-1.73659	-1.79818	-1.07961	-0.49954799999999994	-1.1829399999999999	0.08143049999999999	0.541624	-0.447021	1.46125	-2.2951099999999998	0.348955	0.609635	0.05148099999999999	1.0177	-0.46932799999999997	0.08298689999999999	-0.49235100000000004	1.93219	-0.531779	0.261368	0.334577	0.509534	0.9278299999999999	0.23889699999999997	1.06454	-0.194802	2.16668	-4.44318	0.47043500000000005	0.105119	0.0085118	0.879524	-0.021594299999999997	0.855884	-0.592244	1.79541
chr19	26565062	26565520	dmr_265883	0.840508	0.667266	0.7989470000000001	0.8297030000000001	0.755117	0.48257	0.8356899999999999	0.710232	0.701457	-0.711561	0.571394	0.220094	0.8295	-0.0932165	1.87427	0.632548	1.68082	0.22003899999999998	-5.50149	-0.827327	-1.02404	0.902343	-1.02095	0.60505	0.37729	0.751261	-1.12273	-3.06033	-1.8465200000000002	-0.756546	-1.11156	-1.06151	0.136381	-0.294094	0.10079500000000001	-0.776159	-1.71786	-0.37978	-0.23616900000000002	0.40524099999999996	-1.33045	0.226602	0.679114	1.18767	0.263446	-0.11798399999999999	-0.212179	0.397581	1.56784	0.517826	0.518874	0.665469	0.744156	0.23201100000000002	-1.6233899999999999	0.213614	-0.747833	1.04085	0.410797	0.19103399999999998	0.138011	1.5404	-0.16983
chr19	26566015	26566692	dmr_265884	0.668555	0.6744979999999999	0.7873439999999999	0.7386159999999999	0.748582	0.368886	0.825681	0.577378	0.739437	0.493234	1.12952	1.0169	1.0405799999999998	0.8884790000000001	1.10168	1.16533	0.802135	0.691282	1.78505	1.0412	-1.53663	0.590221	1.00193	1.12373	-0.38769699999999996	0.111161	0.030166700000000005	0.6358189999999999	-1.56572	-0.48097399999999996	-0.6250640000000001	0.736923	-0.20605700000000002	-0.6241180000000001	-1.33417	-1.08802	-4.11022	0.817489	-0.3414	-0.00657971	1.6536799999999998	0.228521	0.779395	0.372201	-0.317148	-0.9706290000000001	0.212015	-0.07004500000000001	0.70186	1.09846	-0.588026	0.724484	-0.713854	0.381783	0.64566	0.53928	-0.314067	0.405082	1.6596	0.17664100000000002	0.955708	-0.144153	0.636147
chr19	26568189	26568732	dmr_265885	0.8627940000000001	0.8398129999999999	0.8621219999999999	0.878877	0.817933	0.89812	0.8710180000000001	0.88087	0.777091	-2.9349	0.180052	0.192389	-0.0400991	-0.763389	-0.8880959999999999	0.516455	-0.344594	0.102968	-4.30777	0.767069	-0.6883130000000001	0.287681	-2.995	-1.1591200000000002	-0.398444	-0.27372399999999997	-0.9049590000000001	-2.55024	-0.36102399999999996	-1.62867	-0.35528200000000004	-1.2756299999999998	-1.6737099999999998	-0.898278	-1.10659	-1.2684	-1.44046	0.814629	-0.351002	-0.10982	-0.9443950000000001	-1.12017	-0.0935837	-1.31221	-2.6935599999999997	0.00384072	0.40367800000000004	-0.26363200000000003	0.175761	-0.532391	0.0159668	-0.480551	0.543122	0.889566	0.129432	0.10482899999999999	0.386358	-0.00385545	-0.0485895	-0.9319059999999999	-0.446065	-0.38156100000000004	-0.327373
chr19	26575114	26575544	dmr_265886	0.862751	0.863231	0.745213	0.785569	0.8593459999999999	0.575551	0.8722120000000001	0.583592	0.828411	-0.80011	0.240957	0.836651	0.251341	0.43876400000000004	0.72042	0.0319868	-1.94813	0.538587	-5.01922	0.10885299999999999	0.380782	-0.303602	-1.68895	-0.9648100000000001	-0.9829	-0.0378851	0.580079	-4.5830400000000004	-1.45814	-0.6831619999999999	-1.8720900000000003	-1.1257700000000002	-1.9710299999999998	-0.8066369999999999	-0.721683	-0.57528	-1.40386	-0.200701	0.262192	0.260267	0.27706	-0.00852924	-1.30515	-0.014962200000000002	-0.0185652	0.5546409999999999	0.09169880000000001	-0.251996	0.015001599999999999	-0.24358400000000002	-0.439192	-0.822018	-0.10393599999999999	0.780633	-1.14621	-0.028693299999999998	0.130117	0.6315390000000001	0.531821	0.223394	-0.578294	-0.41916499999999995	0.379361
chr19	26576844	26577145	dmr_265887	1.0	0.75	0.8703700000000001	0.8461540000000001	0.363636	0.777778	0.8461540000000001	0.863014	0.180556	-0.797074	0.0466867	-1.03359	1.11568	-0.803345	1.33043	-0.875235	-0.298902	-0.286813	-1.34379	0.164623	-0.774356	0.330883	-1.1972399999999999	-1.3869200000000002	-1.03804	-0.57697	-0.723962	-3.10665	-1.91665	-0.08421139999999999	1.2748	-0.8765629999999999	0.20244600000000001	-0.870769	-1.27853	-2.5303400000000003	-3.5950900000000003	0.6762060000000001	-0.06757439999999999	1.1655799999999998	-0.403708	1.28894	-0.385447	-0.664927	-0.208794	1.1885700000000001	0.735088	-0.96257	1.34236	-0.225663	1.7134900000000002	-1.27605	0.47415799999999997	-0.21651399999999998	-3.08963	-0.600458	-0.275636	0.31795100000000004	0.042953500000000006	1.25901	-0.313813	0.0581622	0.22778299999999999
chr19	26583916	26584817	dmr_265888	0.911734	0.860144	0.878476	0.860733	0.563177	0.8688379999999999	0.891027	0.874143	0.677419	-1.27031	0.43261099999999997	-0.715985	-0.529407	0.408549	0.08222389999999999	-0.11516199999999999	-0.6677850000000001	0.033888699999999994	-2.62003	-0.156651	-1.6733	-1.9062599999999998	-0.681099	-0.938531	-0.843073	-0.81808	-0.585642	-2.9788099999999997	-0.0672472	-2.3654900000000003	-0.8840899999999999	-1.7757599999999998	-1.6464299999999998	0.176729	-0.9770629999999999	-0.668028	-2.36302	-0.566004	-0.49723500000000004	-0.46175200000000005	0.15092	-0.66186	0.0619041	-0.0931839	-1.15141	0.1601	0.793007	0.0352158	0.0190739	0.601428	-0.214558	0.686377	-0.383442	0.229733	-1.68265	0.608093	-0.532165	-0.24117199999999997	0.22237800000000002	-0.530928	-0.533941	-0.950242	-0.8066810000000001
chr19	26589461	26589881	dmr_265889	0.878726	0.779938	0.854917	0.822486	0.496914	0.723236	0.790218	0.850137	0.558844	-0.31049499999999997	0.13758299999999998	-0.202036	0.5352210000000001	0.6755399999999999	0.0482101	1.02295	-0.29322	-0.122064	-4.69042	-4.043159999999999	-1.29987	1.49256	-0.747549	-0.182534	0.24603899999999998	-0.226648	0.524559	-1.0537299999999998	-1.2011399999999999	-1.4275799999999998	-0.08901680000000001	-0.450325	-0.398364	-1.2154	-0.9252729999999999	-2.77608	-3.80332	-0.9205209999999999	-0.9136780000000001	-0.0321653	0.538144	-0.13758599999999999	0.447586	-0.710726	-0.7222729999999999	1.0430700000000002	-0.295694	-0.12345999999999999	1.20516	0.56058	0.06003819999999999	1.39609	0.400636	0.8654799999999999	-0.23846399999999998	-0.415735	-0.204764	0.745095	-0.49405600000000005	0.0746109	0.20443699999999998	-0.22259099999999998	-0.267038
chr19	26597147	26597501	dmr_265890	0.9139799999999999	0.763255	0.790995	0.8285629999999999	0.7865300000000001	0.425771	0.845405	0.6660159999999999	0.758746	-1.74774	1.05931	0.370267	0.21801700000000002	0.323755	1.96445	0.990346	0.0795232	0.258316	-4.66058	-0.297218	0.11998900000000001	-1.70418	-0.373496	0.706539	0.08306260000000001	-1.07174	-0.269123	-2.5226599999999997	0.799936	-0.603817	0.804425	-0.205801	1.1415	-0.250727	-0.59712	-0.9875219999999999	0.191565	0.5842689999999999	0.19388699999999998	-0.565167	1.02253	1.7054200000000002	0.379716	0.325652	0.859886	-0.293704	0.07383060000000001	0.0796941	0.451838	0.345369	0.9156030000000001	1.00624	0.490262	0.498933	-0.346229	0.185815	0.41490600000000005	0.0777078	-0.0319293	0.544715	1.28665	0.106977	0.13550299999999998
chr19	26598602	26598996	dmr_265891	0.773985	0.7288439999999999	0.80273	0.745496	0.450794	0.591837	0.7853289999999999	0.716352	0.46579799999999993	-1.51929	0.296189	-0.573062	-0.299001	0.351878	0.119823	0.34168699999999996	0.9024629999999999	0.950169	-5.52665	0.052252099999999996	-0.797798	-0.282931	0.100379	-0.399048	-0.197919	0.866977	0.64588	-5.8696	1.40963	-2.7364599999999997	-0.13841900000000001	0.360698	-0.28739699999999996	-0.239634	0.8197409999999999	0.296813	-2.0381400000000003	0.45223199999999997	-1.38378	0.1632	0.369084	-0.326183	-0.622314	0.688001	0.298267	0.168044	1.85617	0.573738	0.7023699999999999	0.0500147	0.309272	0.872403	0.8832139999999999	1.24968	-2.86746	1.55548	-0.21966100000000002	-0.0490278	1.06746	0.204328	0.293685	1.49109	0.675574
